binary,family,backend,query,cell,structure,bg,method,tx,n,tx_per_s_median,tx_per_s_iqr,bg_tx_count_median,disk
q5_btree,vanilla,btree,q5,c2,2,0,pipeline_view,query,3,0.01424,0.00021000000000000012,,hdd
q5_btree,vanilla,btree,q5,c2,3,0,mi_col_walk,query,3,0.01512,0.00032000000000000084,,hdd
q5_btree,vanilla,btree,q5,c2,4,0,base_hash_join,query,3,0.003142,2.9500000000000012e-05,,hdd
q5_btree,vanilla,btree,q5,c2,1,1,base_merge_join,query,3,0.01289,0.0001349999999999997,,hdd
q5_btree,vanilla,btree,q5,c2,2,1,pipeline_view,query,3,0.009199,0.00016150000000000019,,hdd
q5_btree,vanilla,btree,q5,c2,3,1,mi_col_walk,query,2,0.01607,0.0012900000000000012,,hdd
q5_btree,vanilla,btree,q5,c2,4,1,base_hash_join,query,3,0.003247,1.9000000000000353e-05,,hdd
q5_lsm,vanilla,lsm,q5,c2,1,0,base_merge_join,query,3,0.9205,0.007600000000000051,,hdd
q5_lsm,vanilla,lsm,q5,c2,2,0,pipeline_view,query,3,1.83,0.03499999999999992,,hdd
q5_lsm,vanilla,lsm,q5,c2,3,0,mi_col_walk,query,3,1.7,0.025000000000000133,,hdd
q5_lsm,vanilla,lsm,q5,c2,4,0,base_hash_join,query,3,0.1809,0.0030000000000000027,,hdd
q5_lsm,vanilla,lsm,q5,c2,1,1,base_merge_join,query,3,0.6371,0.008750000000000036,,hdd
q5_lsm,vanilla,lsm,q5,c2,2,1,pipeline_view,query,3,0.944,0.009000000000000119,,hdd
q5_lsm,vanilla,lsm,q5,c2,3,1,mi_col_walk,query,3,1.06,0.020000000000000018,,hdd
q5_lsm,vanilla,lsm,q5,c2,4,1,base_hash_join,query,3,0.07226,0.005400000000000002,,hdd
q5i_btree,tpchi,btree,q5i,c2,1,0,base_merge_join,query,3,0.008489,8.400000000000074e-05,,hdd
q5i_btree,tpchi,btree,q5i,c2,2,0,pipeline_view,query,3,0.01627,0.0004349999999999979,,hdd
q5i_btree,tpchi,btree,q5i,c2,3,0,mi_coli_walk,query,3,0.01279,2.5000000000000716e-05,,hdd
q5i_btree,tpchi,btree,q5i,c2,4,0,base_hash_join,query,3,0.002819,1.1000000000000593e-05,,hdd
q5i_btree,tpchi,btree,q5i,c2,1,1,base_merge_join,query,3,0.0102,0.00031000000000000125,,hdd
q5i_btree,tpchi,btree,q5i,c2,2,1,pipeline_view,query,3,0.009548,0.0001344999999999992,,hdd
q5i_btree,tpchi,btree,q5i,c2,3,1,mi_coli_walk,query,3,0.01282,3.0000000000000512e-05,,hdd
q5i_btree,tpchi,btree,q5i,c2,4,1,base_hash_join,query,3,0.002161,2.099999999999975e-05,,hdd
q5i_lsm,tpchi,lsm,q5i,c2,1,0,base_merge_join,query,3,0.7845,0.0044000000000000705,,hdd
q5i_lsm,tpchi,lsm,q5i,c2,2,0,pipeline_view,query,3,2.06,0.07000000000000028,,hdd
q5i_lsm,tpchi,lsm,q5i,c2,3,0,mi_coli_walk,query,3,1.15,0.030000000000000027,,hdd
q5i_lsm,tpchi,lsm,q5i,c2,4,0,base_hash_join,query,3,0.01665,1.9999999999999185e-05,,hdd
q5i_lsm,tpchi,lsm,q5i,c2,1,1,base_merge_join,query,3,0.5164,0.00835000000000008,,hdd
q5i_lsm,tpchi,lsm,q5i,c2,2,1,pipeline_view,query,3,0.9289,0.031000000000000028,,hdd
q5i_lsm,tpchi,lsm,q5i,c2,3,1,mi_coli_walk,query,3,0.6903,0.016899999999999915,,hdd
q5i_lsm,tpchi,lsm,q5i,c2,4,1,base_hash_join,query,3,0.008715,0.0001920000000000012,,hdd
