binary,family,backend,query,cell,sf,dram_gib,structure,method,tx,bg,rep,tx_per_s,tx_count,bg_tx_count,ms_per_tx,size_mib,commit_sha,cpu_cycles_per_tx,cpu_instr_per_tx,cpu_l1_miss_per_tx,cpu_llc_miss_per_tx,cpu_branch_miss_per_tx,cpu_util_pct,bm_free_pct,bm_consumed_pages,bm_p1_pct,bm_p2_pct,bm_p3_pct,bm_evicted_mib,bm_rounds,cr_committed,cr_restarts,cr_gct_committed,cr_wal_write_gib,dt_struct_split,dt_misses_counter,sst_read_us_per_tx,sst_write_us_per_tx,sst_compaction_us,lsm_block_read_count,lsm_block_cache_hit,lsm_block_cache_miss
q3i_btree,tpchi,btree,q3i,c0,1550,1.0,1,base_merge_join,query,2,2,0.027933811392581505,1,,35798.91,6241.2,934439da,,,,,,,,,,,,,,,,,,,,,,,,,
q3i_btree,tpchi,btree,q3i,c0,1550,1.0,2,pipeline_view,query,2,2,0.03662184031339506,1,,27306.109999999997,6318.87,934439da,,,,,,,,,,,,,,,,,,,,,,,,,
q3i_btree,tpchi,btree,q3i,c0,1550,1.0,3,mi_coli_walk,query,2,2,0.034275322008081435,1,,29175.51,6361.7,934439da,,,,,,,,,,,,,,,,,,,,,,,,,
q3i_btree,tpchi,btree,q3i,c0,1550,1.0,4,base_hash_join,query,2,2,0.008180466991774786,1,,122242.40999999999,5045.38,934439da,,,,,,,,,,,,,,,,,,,,,,,,,
q3i_lsm,tpchi,lsm,q3i,c0,3850,1.0,1,base_merge_join,query,2,0,0.04574787249518961,1,,21858.94,5494.21,934439da,,,,,,,,,,,,,,,,,,,,,,,,,
q3i_lsm,tpchi,lsm,q3i,c0,3850,1.0,2,pipeline_view,query,2,0,0.0891283073286642,2,,11219.78,5289.98,934439da,,,,,,,,,,,,,,,,,,,,,,,,,
q3i_lsm,tpchi,lsm,q3i,c0,3850,1.0,3,mi_coli_walk,query,2,0,0.0770308015363023,2,,12981.82,5582.75,934439da,,,,,,,,,,,,,,,,,,,,,,,,,
q3i_lsm,tpchi,lsm,q3i,c0,3850,1.0,4,base_hash_join,query,2,0,0.006936916444910791,1,,144156.27,4777.42,934439da,,,,,,,,,,,,,,,,,,,,,,,,,
q3i_lsm,tpchi,lsm,q3i,c0,3850,1.0,1,base_merge_join,query,2,1,0.048262292043816366,1,,20720.11,5494.21,934439da,,,,,,,,,,,,,,,,,,,,,,,,,
q3i_lsm,tpchi,lsm,q3i,c0,3850,1.0,2,pipeline_view,query,2,1,0.09453234376875877,2,,10578.39,5289.98,934439da,,,,,,,,,,,,,,,,,,,,,,,,,
q3i_lsm,tpchi,lsm,q3i,c0,3850,1.0,3,mi_coli_walk,query,2,1,0.07956829426264858,2,,12567.82,5582.75,934439da,,,,,,,,,,,,,,,,,,,,,,,,,
q3i_lsm,tpchi,lsm,q3i,c0,3850,1.0,4,base_hash_join,query,2,1,0.007855275041065413,1,,127302.99,4777.42,934439da,,,,,,,,,,,,,,,,,,,,,,,,,
q3i_lsm,tpchi,lsm,q3i,c0,3850,1.0,1,base_merge_join,query,2,2,0.04621702126676234,1,,21637.05,5494.21,934439da,,,,,,,,,,,,,,,,,,,,,,,,,
q3i_lsm,tpchi,lsm,q3i,c0,3850,1.0,2,pipeline_view,query,2,2,0.09039768654240601,2,,11062.23,5289.98,934439da,,,,,,,,,,,,,,,,,,,,,,,,,
q3i_lsm,tpchi,lsm,q3i,c0,3850,1.0,3,mi_coli_walk,query,2,2,0.07541927460233303,2,,13259.21,5582.75,934439da,,,,,,,,,,,,,,,,,,,,,,,,,
q3i_lsm,tpchi,lsm,q3i,c0,3850,1.0,4,base_hash_join,query,2,2,0.007559205778438318,1,,132289.03,4777.42,934439da,,,,,,,,,,,,,,,,,,,,,,,,,
q5_btree,vanilla,btree,q5,c0,1550,1.0,1,base_merge_join,query,2,0,0.04108630548243335,1,,24339.01,4294.9,934439da,,,,,,,,,,,,,,,,,,,,,,,,,
q5_btree,vanilla,btree,q5,c0,1550,1.0,2,pipeline_view,query,2,0,0.03555656694234858,1,,28124.200000000004,4677.95,934439da,,,,,,,,,,,,,,,,,,,,,,,,,
q5_btree,vanilla,btree,q5,c0,1550,1.0,3,mi_col_walk,query,2,0,0.03663104297737117,1,,27299.25,4393.86,934439da,,,,,,,,,,,,,,,,,,,,,,,,,
q5_btree,vanilla,btree,q5,c0,1550,1.0,4,base_hash_join,query,2,0,0.00884958101658677,1,,112999.69999999998,3409.63,934439da,,,,,,,,,,,,,,,,,,,,,,,,,
q5_btree,vanilla,btree,q5,c0,1550,1.0,1,base_merge_join,query,2,1,0.042479710628211195,1,,23540.65,4294.9,934439da,,,,,,,,,,,,,,,,,,,,,,,,,
q5_btree,vanilla,btree,q5,c0,1550,1.0,2,pipeline_view,query,2,1,0.035674381370552656,1,,28031.319999999996,4677.95,934439da,,,,,,,,,,,,,,,,,,,,,,,,,
q5_btree,vanilla,btree,q5,c0,1550,1.0,3,mi_col_walk,query,2,1,0.0391080394787837,1,,25570.19,4393.86,934439da,,,,,,,,,,,,,,,,,,,,,,,,,
q5_btree,vanilla,btree,q5,c0,1550,1.0,4,base_hash_join,query,2,1,0.009178310807158092,1,,108952.50999999998,3409.63,934439da,,,,,,,,,,,,,,,,,,,,,,,,,
