binary,family,backend,query,cell,sf,dram_gib,structure,method,tx,bg,rep,tx_per_s,tx_count,bg_tx_count,ms_per_tx,size_mib,commit_sha,cpu_cycles_per_tx,cpu_instr_per_tx,cpu_l1_miss_per_tx,cpu_llc_miss_per_tx,cpu_branch_miss_per_tx,cpu_util_pct,bm_free_pct,bm_consumed_pages,bm_p1_pct,bm_p2_pct,bm_p3_pct,bm_evicted_mib,bm_rounds,cr_committed,cr_restarts,cr_gct_committed,cr_wal_write_gib,dt_struct_split,dt_misses_counter,latency_p50_ms,latency_p99_ms,lsm_block_read_count,lsm_block_cache_hit,lsm_block_cache_miss
q5_lsm,vanilla,lsm,q5,c3,3850,0.4,2,pipeline_view,query,2,2,0.08028,,,12456.402590931739,3711.4,,,,,,,,,,,,,,,,,,,,,,,,,
q5_lsm,vanilla,lsm,q5,c3,3850,0.4,3,mi_col_walk,query,2,2,0.1045,,,9569.377990430623,3909.37,,,,,,,,,,,,,,,,,,,,,,,,,
q5_lsm,vanilla,lsm,q5,c3,3850,0.4,4,base_hash_join,query,2,2,0.001384,,,722543.3526011561,3121.19,,,,,,,,,,,,,,,,,,,,,,,,,
q5_lsm,vanilla,lsm,q5,c3,3850,0.4,1,base_merge_join,query,2,3,0.06592,,,15169.902912621357,3824.1,,,,,,,,,,,,,,,,,,,,,,,,,
q5_lsm,vanilla,lsm,q5,c3,3850,0.4,2,pipeline_view,query,2,3,0.08251,,,12119.743061447098,3711.4,,,,,,,,,,,,,,,,,,,,,,,,,
q5_lsm,vanilla,lsm,q5,c3,3850,0.4,3,mi_col_walk,query,2,3,0.09837,,,10165.700925078785,3909.37,,,,,,,,,,,,,,,,,,,,,,,,,
q5_lsm,vanilla,lsm,q5,c3,3850,0.4,4,base_hash_join,query,2,3,0.00136,,,735294.1176470588,3121.19,,,,,,,,,,,,,,,,,,,,,,,,,
q5i_btree,tpchi,btree,q5i,c1,620,0.4,1,base_merge_join,query,2,1,0.002232,,,448028.67383512546,2496.55,,,,,,,,,,,,,,,,,,,,,,,,,
q5i_btree,tpchi,btree,q5i,c1,620,0.4,2,pipeline_view,query,2,1,0.002142,,,466853.4080298787,2555.14,,,,,,,,,,,,,,,,,,,,,,,,,
q5i_btree,tpchi,btree,q5i,c1,620,0.4,3,mi_coli_walk,query,2,1,0.00287,,,348432.0557491289,2544.34,,,,,,,,,,,,,,,,,,,,,,,,,
q5i_btree,tpchi,btree,q5i,c1,620,0.4,4,base_hash_join,query,2,1,0.0004795,,,2085505.7351407716,2018.69,,,,,,,,,,,,,,,,,,,,,,,,,
q5i_btree,tpchi,btree,q5i,c1,620,0.4,1,base_merge_join,query,2,2,0.002217,,,451059.9909788002,2496.55,,,,,,,,,,,,,,,,,,,,,,,,,
q5i_btree,tpchi,btree,q5i,c1,620,0.4,2,pipeline_view,query,2,2,0.002143,,,466635.5576294914,2555.14,,,,,,,,,,,,,,,,,,,,,,,,,
q5i_btree,tpchi,btree,q5i,c1,620,0.4,3,mi_coli_walk,query,2,2,0.002961,,,337723.7419790611,2544.34,,,,,,,,,,,,,,,,,,,,,,,,,
q5i_btree,tpchi,btree,q5i,c1,620,0.4,4,base_hash_join,query,2,2,0.0004797,,,2084636.2309776943,2018.69,,,,,,,,,,,,,,,,,,,,,,,,,
q5i_btree,tpchi,btree,q5i,c1,620,0.4,1,base_merge_join,query,2,3,0.002216,,,451263.5379061372,2496.55,,,,,,,,,,,,,,,,,,,,,,,,,
q5i_btree,tpchi,btree,q5i,c1,620,0.4,2,pipeline_view,query,2,3,0.002163,,,462320.8506703652,2555.14,,,,,,,,,,,,,,,,,,,,,,,,,
