binary,family,backend,query,cell,sf,dram_gib,structure,method,tx,bg,rep,tx_per_s,tx_count,bg_tx_count,ms_per_tx,size_mib,commit_sha
q3i_lsm,tpchi,lsm,q3i,c0,3850,1.0,1,base_merge_join,query,2,2,0.0402,,,24875.621890547263,5132.67,4285645c
q3i_lsm,tpchi,lsm,q3i,c0,3850,1.0,2,pipeline_view,query,2,2,0.06841,,,14617.7459435755,4858.94,4285645c
q3i_lsm,tpchi,lsm,q3i,c0,3850,1.0,3,mi_coli_walk,query,2,2,0.05437,,,18392.495861688432,5239.35,4285645c
q3i_lsm,tpchi,lsm,q3i,c0,3850,1.0,4,base_hash_join,query,2,2,0.003185,,,313971.7425431711,4202.31,4285645c
q3i_lsm,tpchi,lsm,q3i,c0,3850,1.0,1,base_merge_join,query,2,3,0.04263,,,23457.65892563922,5132.67,4285645c
q3i_lsm,tpchi,lsm,q3i,c0,3850,1.0,2,pipeline_view,query,2,3,0.07821,,,12786.088735455824,4858.94,4285645c
q3i_lsm,tpchi,lsm,q3i,c0,3850,1.0,3,mi_coli_walk,query,2,3,0.05697,,,17553.0981218185,5239.35,4285645c
q3i_lsm,tpchi,lsm,q3i,c0,3850,1.0,4,base_hash_join,query,2,3,0.002969,,,336813.74200067366,4202.31,4285645c
q3i_lsm,tpchi,lsm,q3i,c1,1500,0.4,1,base_merge_join,query,2,1,0.1041,,,9606.147934678194,1979.44,4285645c
q3i_lsm,tpchi,lsm,q3i,c1,1500,0.4,2,pipeline_view,query,2,1,0.1776,,,5630.630630630631,1873.55,4285645c
q3i_lsm,tpchi,lsm,q3i,c1,1500,0.4,3,mi_coli_walk,query,2,1,0.1623,,,6161.429451632779,2021.46,4285645c
q3i_lsm,tpchi,lsm,q3i,c1,1500,0.4,4,base_hash_join,query,2,1,0.007626,,,131130.34356150014,1618.07,4285645c
q3i_lsm,tpchi,lsm,q3i,c1,1500,0.4,1,base_merge_join,query,2,2,0.104,,,9615.384615384615,1979.44,4285645c
